day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 2,2305 kcal,105.65 g,305 g,76.55 g,63.1 g,Paneer Paratha | Dahi,Daal | Brown rice | Wheat Roti | Gobi matar sabzi,Carrot tomato salad | Wheat Roti | Chicken curry,Apple | Almonds,Moong beans boiled,Pear | Pumpkin seeds | walnuts,Roasted peanuts | Ragi with buttermilk,2 Piece | 1 katori,1 bowl | 1 katori | 3 roti | 1.5 katori,1 katori | 3 roti | 1.5 katori,1 piece | 6 almond,1 katori,1 piece | 1 tbsp | 6 piece,0.5 serving | 1 glass,448 | 90,116 | 109 | 255 | 123,27 | 255 | 244.5,42,138,52 | 84,85.5 | 71,48.2 | 4.5,18.7 | 22.8 | 52.2 | 10.5,5.4 | 52.2 | 6.9,88 | 1.8,23.4,77 | 1.3 | 1.2,4 | 14.3,18.4 | 4.7,7.2 | 2.4 | 9 | 4.05,0.9 | 9 | 26.85,20 | 1.8,9.9,17.6 | 2.7 | 1.8,3.95 | 1.8,21.8 | 6,1.4 | 0.9 | 1.2 | 7.5,0.2 | 1.2 | 11.55,0.3 | 3.6,0.5,0.9 | 4.4 | 8.4,6 | 0.8,7.6 | 0,3.1 | 1 | 8.1 | 5.1,2.5 | 8.1 | 2.55,0.8 | 1.2,6.9,0.3 | 0.6 | 1.2,1.65 | 2.3,Weight Gain,North Indian,Thyroid,Non Veg,2300
Day 3,2278.5 kcal,98.8 g,285.85 g,87.5 g,52 g,Boiled Egg | Peas poha,Jowar roti | Dahi | Mix daal | Capsicum lettuce salad | Gavar sabzi,Dahi | Dal Khichadi | Green salad,Papaya smoothie | Chia seeds | walnuts,Egg white | Papaya,Coconut water | Almonds | Cashew Nuts,Chickpea vegetable salad,2 Egg | 2 katori,3 piece | 1 katori | 1 katori | 1 katori | 1.5 katori,1 katori | 2 Bowl | 1 katori,1 glass | 1 tbsp | 6 piece,boiled | 1 cup,1 piece | 6 almond | 6 Piece,2 katori,172 | 280,249 | 90 | 149 | 49 | 97.5,90 | 346 | 60,148 | 47 | 84,4 piece | ,49 | 42 | 48,164,2 | 55.8,53.4 | 4.5 | 22.4 | 3.7 | 7.05,4.5 | 57.2 | 2.8,18.3 | 4.1 | 1.2,68 | 46,9.1 | 1.8 | 1.8,25,13.2 | 6,5.4 | 4.7 | 8.7 | 1.1 | 3.9,4.7 | 13.2 | 1.4,5.3 | 1.6 | 1.8,0.8 | 10.4,2.9 | 1.8 | 1.8,6,13.2 | 4,2.4 | 6 | 2.9 | 3.7 | 5.7,6 | 7.2 | 4.8,6.2 | 3 | 8.4,14.4 | 0.9,0.2 | 3.6 | 4.2,5,0 | 2.2,4.5 | 0 | 6 | 1.9 | 5.4,0 | 7 | 1.7,2.3 | 3.3 | 1.2,0.8 | 0.2,2.3 | 1.2 | 0,9.2,Weight Gain,North Indian,Thyroid,Non Veg,2300
Day 4,2270.5 kcal,102 g,317.95 g,69.75 g,55.95 g,Wheat Roti | Egg bhurji,Carrot cucumber salad | Chicken curry | Daal | Brown rice | Wheat Roti,Carrot tomato salad | Bajra roti | Chana lobia curry,Chia seeds | Apple smoothie,Sprouts,Watermelon | Almonds | Cashew Nuts,Makhana | Buttermilk,2 roti | 2 one,1 katori | 1 katori | 1 bowl | 1 katori | 3 roti,1 katori | 3 piece | 1.5 katori,1 tbsp | 1 glass,2 Katori,1 cup | 6 almond | 6 Piece,1 katori | 1 glass,170 | 304,21 | 163 | 116 | 109 | 255,27 | 339 | 256.5,47 | 145,48,42 | 48,111 | 45,34.8 | 9.6,4.9 | 4.6 | 18.7 | 22.8 | 52.2,5.4 | 57.3 | 36.45,4.1 | 22,9.6,24 | 1.8 | 1.8,24.6 | 2.3,6 | 15.2,0.7 | 17.9 | 7.2 | 2.4 | 9,0.9 | 9.9 | 13.5,1.6 | 3.6,4.8,5 | 1.8 | 1.8,3.1 | 2.3,0.8 | 23.8,0.1 | 7.7 | 1.4 | 0.9 | 1.2,0.2 | 7.8 | 6.45,3 | 4.9,0.4,0.3 | 3.6 | 4.2,0 | 3,5.4 | 2.6,1.1 | 1.7 | 3.1 | 1 | 8.1,2.5 | 9.6 | 6.45,3.3 | 1.6,2.8,0.3 | 1.2 | 0,4.6 | 0,Weight Gain,North Indian,Thyroid,Non Veg,2300
Day 1,1807.5 kcal,68.35 g,265.3 g,54.75 g,43.65 g,Cow milk | Peas poha,Wheat Roti | Daal | Carrot tomato salad | Dudhi bhopla bhaji,Daal | Gobi matar sabzi | Wheat Roti | Dahi,Granola bar,Peanut butter with whole wheat bread,Almonds | Apple,Roasted chana,1 glass | 1.5 katori,2 roti | 1 bowl | 1 katori | 1 katori,1 bowl | 1 katori | 1 roti | 1 katori,0.5 bar,2 slice,6 almond | 1 piece,1 katori,168 | 210,170 | 116 | 27 | 50,116 | 82 | 85 | 90,59.5,234,42 | ,270,11 | 41.85,34.8 | 18.7 | 5.4 | 3.7,18.7 | 7 | 17.4 | 4.5,8.45,26,1.8 | 88,46,8 | 4.5,6 | 7.2 | 0.9 | 0.7,7.2 | 2.7 | 3 | 4.7,0.95,10.8,1.8 | 20,9.6,10.3 | 3,0.8 | 1.4 | 0.2 | 3.7,1.4 | 5 | 0.4 | 6,2.45,10.4,3.6 | 0.3,5.3,0 | 1.65,5.4 | 3.1 | 2.5 | 2.5,3.1 | 3.4 | 2.7 | 0,1.1,5,1.2 | 0.8,7.2,Weight Loss,Maharashtrian,None,Veg,1800
Day 2,1772.5 kcal,66.1 g,260.15 g,64.15 g,38.85 g,Cow milk | Upma,Paneer Pulao | Tomato cucumber raita,Chana palak curry | Mix daal | Carrot cucumber salad | Jowar Bhakri,Masala oats,Sprouts,Pomegranate | Almonds,Multigrain Toasted Potato Chatni Sandwich | walnuts,1 glass | 1.5 katori,2 Katori | 1 katori,1 katori | 1 katori | 1 katori | 2 Piece,1 katori,1 Katori,1 cup | 6 almond,1 Piece | 6 piece,168 | 256.5,272 | 51,129 | 149 | 21 | 166,80,24,144 | 42,186 | 84,11 | 36.45,39 | 5.5,17.2 | 22.4 | 4.9 | 35.6,12.8,4.8,32.5 | 1.8,35 | 1.2,8 | 6.6,13.8 | 2.5,4.9 | 8.7 | 0.7 | 3.6,2.3,2.4,2.9 | 1.8,6.1 | 1.8,10.3 | 9.45,13.8 | 2.4,4.8 | 2.9 | 0.1 | 1.6,2.2,0.2,2 | 3.6,2.4 | 8.4,0 | 3.75,0.6 | 1.1,4.9 | 6 | 1.1 | 3,2.4,1.4,7 | 1.2,5.2 | 1.2,Weight Loss,Maharashtrian,None,Veg,1800
Day 3,1801 kcal,65.95 g,238.6 g,66.65 g,49.45 g,Homemade idli | Brinjal sambhar | Tomato peanut chutney,Multi grain roti | Grilled paneer | Green salad | Aloo matar sabzi,Wheat Roti | Matar Paneer | Capsicum lettuce salad,Apple | walnuts,Epigamia plain yoghurt | Papaya,Carrot beetroot juice | Soaked and peeled almonds,Puffed Rice Chivda | Ragi with buttermilk,3 small | 1 katori | 2 tbsp,2 roti | 0.5 serving | 1 katori | 1 katori,2 roti | 1.5 Small | 1 katori,1 piece | 6 piece,1 pack | 1 cup,1 glass | 6 almond,1 Katori | 1 glass,117 | 117 | 30,164 | 143.5 | 60 | 129,170 | 205.5 | 49,84,69 | ,72 | 48,138 | 71,22.8 | 15.9 | 1.8,31.8 | 0.9 | 2.8 | 20,34.8 | 16.5 | 3.7,88 | 1.2,5.6 | 46,15.7 | 0.6,19.8 | 14.3,3.9 | 5.5 | 1,6.2 | 8.45 | 1.4 | 4,6 | 9.3 | 1.1,20 | 1.8,7.2 | 10.4,2.1 | 1.8,3.2 | 1.8,1.2 | 3.5 | 2.4,1.4 | 11.85 | 4.8 | 3.8,0.8 | 11.7 | 3.7,0.3 | 8.4,2 | 0.9,0 | 4.2,5.1 | 0.8,1.5 | 3.2 | 0.8,6 | 0.25 | 1.7 | 5.1,5.4 | 6.9 | 1.9,0.8 | 1.2,0 | 0.2,1 | 1.2,2.4 | 2.3,Weight Loss,Maharashtrian,None,Veg,1800
Day 4,1769 kcal,72 g,226.7 g,68.6 g,51.8 g,Methi paneer paratha | Dahi,Bhindi Sabzi | Mix daal | Carrot tomato salad | Bajra roti,Carrot tomato salad | Dal Khichadi | Dahi,Fresh fruit salad | Chia seeds,Moong beans boiled,Coconut water | walnuts | Almonds,Masala Papad | Green tea,2 pieces | 1 katori,1 Katori | 1 katori | 1 katori | 2 piece,1 katori | 2 Bowl | 1 katori,1 katori | 1 tbsp,1 katori,1 piece | 6 piece | 6 almond,2 Piece | 1 teacup,276 | 90,68 | 149 | 27 | 226,27 | 346 | 90,60 | 47,138,49 | 84 | 42,50 | 0,26.6 | 4.5,7.1 | 22.4 | 5.4 | 38.2,5.4 | 57.2 | 4.5,14 | 4.1,23.4,9.1 | 1.2 | 1.8,1.8 | 0,9.2 | 4.7,1.8 | 8.7 | 0.9 | 6.6,0.9 | 13.2 | 4.7,0.9 | 1.6,9.9,2.9 | 1.8 | 1.8,2.4 | 0,15 | 6,3.7 | 2.9 | 0.2 | 5.2,0.2 | 7.2 | 6,0.5 | 3,0.5,0.2 | 8.4 | 3.6,6 | 0,4.2 | 0,3.1 | 6 | 2.5 | 6.4,2.5 | 7 | 0,3.6 | 3.3,6.9,2.3 | 1.2 | 1.2,1.6 | 0,Weight Loss,Maharashtrian,None,Veg,1800
Day 1,1772 kcal,57.05 g,247.85 g,66.2 g,39.85 g,Upma,Curd Rice | Rajma chhole moong sprout salad,Chapati | Coconut chickpea curry | Bean salad,Pomegranate,Paneer vegetable wrap,Fresh fruit salad | walnuts | Almonds,Murmura chana peanuts bhel,1.5 katori,1.5 Small | 1.5 katori,2 Piece | 1 katori | 1 katori,1 cup,1 roll/,1 katori | 4 piece | 4 almond,1 katori,256.5,201 | 88.5,170 | 169 | 55,144,321,60 | 56 | 28,223,36.45,31.8 | 17.1,34.8 | 18.1 | 7.4,32.5,22.7,14 | 0.8 | 1.2,31,6.6,5.55 | 4.2,6 | 5.2 | 1.9,2.9,14.2,0.9 | 1.2 | 1.2,7.2,9.45,5.7 | 1.05,0.8 | 8.7 | 2,2,20.1,0.5 | 5.6 | 2.4,7.9,3.75,0.9 | 4.2,5.4 | 8.3 | 2.1,7,0.8,3.6 | 0.8 | 0.8,2.2,Weight Gain,South Indian,Thyroid,Veg,1800
Day 2,1770 kcal,69.6 g,221.2 g,71.2 g,43.6 g,Brinjal sambhar | Tomato peanut chutney | Oats rava idli,Ragi/nachni roti | Bhindi Sabzi | Daal | Green salad,Multi grain roti | Sprouts curry | Capsicum lettuce salad,walnuts | Almonds,Grilled paneer,Makhana,Moong rava appe | Dhaniya pudina chutney,1 katori | 4 tbsp | 3 piece,2 roti | 1 Katori | 1 bowl | 1 katori,2 roti | 1 katori | 1 katori,4 piece | 4 almond,1 serving,1 katori,4 pieces | 2 tbsp,117 | 60 | 222,174 | 68 | 116 | 60,164 | 104 | 49,56 | 28,287,111,144 | 10,15.9 | 3.6 | 34.5,38.4 | 7.1 | 18.7 | 2.8,31.8 | 14.3 | 3.7,0.8 | 1.2,1.8,24.6,20.4 | 1.6,5.5 | 2 | 7.2,4 | 1.8 | 7.2 | 1.4,6.2 | 4.6 | 1.1,1.2 | 1.2,16.9,3.1,5.6 | 0.6,3.5 | 4.8 | 6.3,0.8 | 3.7 | 1.4 | 4.8,1.4 | 4.1 | 3.7,5.6 | 2.4,23.7,0,4.8 | 0.2,3.2 | 1.6 | 3,6.2 | 3.1 | 3.1 | 1.7,6 | 2.5 | 1.9,0.8 | 0.8,0.5,4.6,3.6 | 1,Weight Gain,South Indian,Thyroid,Veg,1800
Day 3,1795 kcal,73.1 g,222.5 g,69.2 g,39.7 g,Beans palya | Spinach dosa,Soyabean Curry | Multi grain roti,Paneer vegetable wrap,Papaya smoothie,Epigamia plain yoghurt,Apple | Cashew Nuts,Roasted chana | Ragi kanji,1 katori | 2 medium,1 Katori | 2 roti,1 roll/,1 glass,1 pack,1 piece | 4 Piece,1 katori | 1 glass,82 | 366,120 | 164,321,148,69,32,270 | 135,7.7 | 49.6,7.3 | 31.8,22.7,18.3,5.6,88 | 1.2,46 | 12.3,2.6 | 11.6,8.8 | 6.2,14.2,5.3,7.2,20 | 1.2,9.6 | 6.1,4.6 | 13.4,6.2 | 1.4,20.1,6.2,2,0.3 | 2.8,5.3 | 6.4,3.8 | 8.8,5.3 | 6,0.8,2.3,0,0.8 | 0,7.2 | 0.7,Weight Gain,South Indian,Thyroid,Veg,1800
Day 4,1787.5 kcal,70.55 g,215.4 g,74.15 g,38.75 g,Paneer bhurji dosa,Drumstick rasam | Coconut rice | Grilled paneer,Green salad | Wheat Roti | Chhole | Buttermilk,Peanut butter with whole wheat bread,Boiled soya chunks,Chickpea vegetable salad,Moong rava appe | Dhaniya pudina chutney,1 dosa,1 katori | 1 katori | 0.5 serving,1 katori | 2 roti | 1 katori | 1 glass,2 slice,1 katori,1 katori,4 pieces | 2 tbsp,369,122 | 207 | 143.5,60 | 170 | 154 | 45,234,47,82,144 | 10,43,20.6 | 25 | 0.9,2.8 | 34.8 | 21 | 2.3,26,4.5,12.5,20.4 | 1.6,13.3,1.9 | 3.7 | 8.45,1.4 | 6 | 6.4 | 2.3,10.8,7.1,3,5.6 | 0.6,16.2,3.9 | 10.2 | 11.85,4.8 | 0.8 | 5.4 | 3,10.4,0.1,2.5,4.8 | 0.2,5.6,1.6 | 2.4 | 0.25,1.7 | 5.4 | 5.8 | 0,5,1.8,4.6,3.6 | 1,Weight Gain,South Indian,Thyroid,Veg,1800
Day 1,1488 kcal,62.65 g,187.25 g,57.5 g,37.15 g,Oats vegetable chilla | Tomato chutney,Jowar roti | Paneer capsicum sabzi | Green salad,Daal | Sprouts Salad | Brown rice,Papaya smoothie | Chia seeds,Epigamia plain yoghurt,walnuts | Almonds | Coconut water,Moong beans boiled,2 chilla | 4 tbsp,2 piece | 1 katori | 1 katori,1.5 bowl | 1.5 Katori | 1 katori,1 glass | 1 tbsp,1 pack,6 piece | 6 almond | 1 piece,1 katori,194 | 40,166 | 132 | 60,174 | 36 | 109,148 | 47,69,84 | 42 | 49,138,17.8 | 4,35.6 | 5.2 | 2.8,28.05 | 7.5 | 22.8,18.3 | 4.1,5.6,1.2 | 1.8 | 9.1,23.4,4.6 | 0.8,3.6 | 6 | 1.4,10.8 | 2.55 | 2.4,5.3 | 1.6,7.2,1.8 | 1.8 | 2.9,9.9,11.6 | 2.4,1.6 | 9.9 | 4.8,2.1 | 0.3 | 0.9,6.2 | 3,2,8.4 | 3.6 | 0.2,0.5,3.6 | 2,3 | 1.9 | 1.7,4.65 | 2.1 | 1,2.3 | 3.3,0,1.2 | 1.2 | 2.3,6.9,Weight Gain,North Indian,Diabetes,Veg,1500
Day 2,1496.5 kcal,63.3 g,201.2 g,52.95 g,42.25 g,Peas poha | Cow milk,Wheat Roti | Gobi matar sabzi | Carrot tomato salad,Bajra roti | Chana palak curry | Capsicum lettuce salad,Oatmeal porridge,Boiled soyabean,Pear | Cashew Nuts,Sweet corn and moong dal chaat,1 katori | 1 glass,2 roti | 1.5 katori | 1 katori,1.5 piece | 1 katori | 1 katori,1 katori,0.5 cup,1 piece | 6 Piece,1.5 katori,140 | 168,170 | 123 | 27,169.5 | 129 | 49,140,148,48,108,27.9 | 11,34.8 | 10.5 | 5.4,28.65 | 17.2 | 3.7,16.7,7.2,77 | 1.8,18.75,3 | 8,6 | 4.05 | 0.9,4.95 | 4.9 | 1.1,6.2,15.65,17.6 | 1.8,5.85,2 | 10.3,0.8 | 7.5 | 0.2,3.9 | 4.8 | 3.7,5.9,7.7,0.9 | 4.2,1.65,1.1 | 0,5.4 | 5.1 | 2.5,4.8 | 4.9 | 1.9,2,5.15,0.3 | 0,3,Weight Gain,North Indian,Diabetes,Veg,1500
Day 3,1505 kcal,58.8 g,213.7 g,49.75 g,49.85 g,Paneer Paratha | Dahi,Peas Pulao | Bhindi Sabzi | Wheat Roti,Ragi/nachni roti | Paneer capsicum sabzi | Daal,Almonds | walnuts,Boiled kala chana,Fresh fruit salad | Chia seeds,Rajma chhole moong sprout salad,1 Piece | 1 katori,1 Katori | 1 Katori | 2 roti,1.5 roti | 1 katori | 1 bowl,4 almond | 4 piece,1 katori,1 katori | 1 tbsp,1.5 katori,224 | 90,134 | 68 | 170,130.5 | 132 | 116,28 | 56,161,60 | 47,88.5,24.1 | 4.5,26.1 | 7.1 | 34.8,28.8 | 5.2 | 18.7,1.2 | 0.8,27.2,14 | 4.1,17.1,9.2 | 4.7,4.2 | 1.8 | 6,3 | 6 | 7.2,1.2 | 1.2,7.6,0.9 | 1.6,4.2,10.9 | 6,1.5 | 3.7 | 0.8,0.6 | 9.9 | 1.4,2.4 | 5.6,2.4,0.5 | 3,1.05,3.8 | 0,2.6 | 3.1 | 5.4,4.65 | 1.9 | 3.1,0.8 | 0.8,12.6,3.6 | 3.3,4.2,Weight Gain,North Indian,Diabetes,Veg,1500
Day 4,1494 kcal,55.95 g,202.25 g,53.15 g,42.3 g,Upma | Cow milk,Bajra roti | Mix daal | Lauki sabzi,Millet and spinach khichdi | Tomato cucumber raita,Fresh fruit salad,Moong beans boiled,Carrot beetroot juice | Almonds,Chana tikki | Dhaniya pudina chutney,1 katori | 1 glass,2 piece | 1 katori | 1 katori,1.5 katori | 1 katori,1 katori,1 katori,1 glass | 6 almond,2 piece | 2 tbsp,171 | 168,226 | 149 | 50,105 | 51,60,138,72 | 42,252 | 10,24.3 | 11,38.2 | 22.4 | 3.7,16.05 | 5.5,14,23.4,15.7 | 1.8,24.6 | 1.6,4.4 | 8,6.6 | 8.7 | 0.7,4.35 | 2.5,0.9,9.9,2.1 | 1.8,5.4 | 0.6,6.3 | 10.3,5.2 | 2.9 | 3.7,2.55 | 2.4,0.5,0.5,0 | 3.6,15 | 0.2,2.5 | 0,6.4 | 6 | 2.5,2.7 | 1.1,3.6,6.9,1 | 1.2,7.4 | 1,Weight Gain,North Indian,Diabetes,Veg,1500
Day 1,1205 kcal,45.4 g,177.9 g,37.1 g,39.1 g,Upma | Buttermilk,Grilled Paneer Tikka | Carrot tomato salad | Curd Rice,Cauliflower palya | Multi grain roti | Mix daal,Mosambi | Almonds,Boiled sprouted chana,Fresh fruit salad | Chia seeds,Makhana,1 katori | 1 glass,1 Piece | 1 katori | 1 Small,1 katori | 1 roti | 1 katori,1 piece | 4 almond,1 katori,1 katori | 1 tbsp,1 katori,171 | 45,80 | 27 | 134,81 | 82 | 149,29 | 28,161,60 | 47,111,24.3 | 2.3,2.7 | 5.4 | 21.2,6.6 | 15.9 | 22.4,6.2 | 1.2,27,14 | 4.1,24.6,4.4 | 2.3,4.2 | 0.9 | 3.7,2.1 | 3.1 | 8.7,0.5 | 1.2,8.7,0.9 | 1.6,3.1,6.3 | 3,5.8 | 0.2 | 3.8,5.7 | 0.7 | 2.9,0.2 | 2.4,2.6,0.5 | 3,0,2.5 | 0,0.6 | 2.5 | 0.6,2.3 | 3 | 6,1.8 | 0.8,7.5,3.6 | 3.3,4.6,Weight Loss,South Indian,Thyroid,Veg,1200
Day 2,1202 kcal,45.15 g,179.95 g,35.2 g,34.3 g,Chana masala | Ragi Dosa,Lemon rice | Vegetable soybean stew,Ragi/nachni roti | Lauki sabzi | Daal,Muskmelon | Almonds,Epigamia plain yoghurt | Strawberry,Coconut water | Chia seeds,Roasted chana,1 katori | 1 Dosa,1 katori | 0.5 katori,1 roti | 1 katori | 1 bowl,1 cup | 4 almond,1 pack | 4 medium,1 piece | 1 tbsp,0.5 katori,188 | 102,168 | 116,87 | 50 | 116,28,69 | 20,49 | 47,135,20.3 | 21.6,30.1 | 12.95,19.2 | 3.7 | 18.7,27 | 1.2,5.6 | 4.8,9.1 | 4.1,23,5.7 | 2.2,3.9 | 4.85,2 | 0.7 | 7.2,5.6 | 1.2,7.2 | 0.4,2.9 | 1.6,4.8,9.8 | 0.7,3.6 | 5.05,0.4 | 3.7 | 1.4,0.5 | 2.4,2 | 0,0.2 | 3,2.65,5.2 | 2.2,1.8 | 3.9,3.1 | 2.5 | 3.1,0.3 | 0.8,0 | 1.2,2.3 | 3.3,3.6,Weight Loss,South Indian,Thyroid,Veg,1200
Day 3,1192.5 kcal,45.15 g,153.5 g,46.4 g,32.05 g,Tomato chutney | Spinach dosa,Mix daal | Tomato cucumber raita | Brown rice,Paneer masala | Wheat Roti,Pear | Cashew Nuts,Papaya smoothie,Cucumber tomato juice | Almonds,Roasted peanuts,2 tbsp | 1 medium,1 katori | 1 katori | 1 katori,1 Small | 1 roti,1 piece | 4 Piece,1 glass,1 glass | 4 almond,0.5 serving,20 | 183,149 | 51 | 109,181 | 85,32,148,44 | 28,85.5,2 | 24.8,22.4 | 5.5 | 22.8,7 | 17.4,77 | 1.2,18.3,9.3 | 1.2,4,0.4 | 5.8,8.7 | 2.5 | 2.4,7.9 | 3,17.6 | 1.2,5.3,1.9 | 1.2,3.95,1.2 | 6.7,2.9 | 2.4 | 0.9,13.8 | 0.4,0.9 | 2.8,6.2,0.4 | 2.4,6,1 | 4.4,6 | 1.1 | 1,2.1 | 2.7,0.3 | 0,2.3,2.6 | 0.8,1.65,Weight Loss,South Indian,Thyroid,Veg,1200
Day 4,1170 kcal,46.2 g,164.4 g,33.9 g,27.8 g,Coconut Chutney | Oats rava idli | Drumstick sambhar,Soya chunk pulao | Tomato cucumber raita,Daal | Wheat Roti | Carrot tomato salad,Orange | walnuts,Boiled soya chunks,Almonds | Cashew Nuts,Sweet potato,4 Teaspoon | 2 piece | 1 katori,1.5 katori | 1 katori,1 bowl | 1 roti | 1 katori,1 piece | 4 piece,1 katori,4 almond | 4 Piece,1 piece,68 | 148 | 93,222 | 51,116 | 85 | 27,56,47,28 | 32,,2.8 | 23 | 11,35.4 | 5.5,18.7 | 17.4 | 5.4,46 | 0.8,4.5,1.2 | 1.2,151,0.8 | 4.8 | 4.2,9.3 | 2.5,7.2 | 3 | 0.9,10.5 | 1.2,7.1,1.2 | 1.2,27,6 | 4.2 | 3.6,4.5 | 2.4,1.4 | 0.4 | 0.2,0.7 | 5.6,0.1,2.4 | 2.8,2.1,2 | 2 | 2.3,3.6 | 1.1,3.1 | 2.7 | 2.5,0.2 | 0.8,1.8,0.8 | 0,0.1,Weight Loss,South Indian,Thyroid,Veg,1200
Day 1,2094 kcal,85.8 g,319.35 g,55.45 g,56.95 g,Egg Omelette | Wheat Roti,Daal | Carrot cucumber salad | Wheat Roti | Bhindi Sabzi,Plain Rice | Daal | Cabbage sabzi | Wheat Roti,Almonds | Pineapple | Cashew Nuts,Egg white,Apple | walnuts,Roasted chana | Dates,2 Piece | 2 roti,1 bowl | 1 katori | 3 roti | 1.5 Katori,1 Katori | 1 bowl | 1 katori | 2 roti,6 almond | 4 thin | 6 Piece,boiled,1 piece | 6 piece,1 katori | 2 piece,208 | 170,116 | 21 | 255 | 102,120 | 116 | 62 | 170,42 | 104 | 48,4 piece,84,270 | 50,5 | 34.8,18.7 | 4.9 | 52.2 | 10.65,26.7 | 18.7 | 4.7 | 34.8,1.8 | 24.4 | 1.8,68,88 | 1.2,46 | 12.2,12 | 6,7.2 | 0.7 | 9 | 2.7,2.6 | 7.2 | 1.5 | 6,1.8 | 0.8 | 1.8,0.8,20 | 1.8,9.6 | 0.4,16.2 | 0.8,1.4 | 0.1 | 1.2 | 5.55,0.3 | 1.4 | 4.2 | 0.8,3.6 | 0.4 | 4.2,14.4,0.3 | 8.4,5.3 | 0,0.8 | 5.4,3.1 | 1.1 | 8.1 | 4.65,0.5 | 3.1 | 2.6 | 5.4,1.2 | 6.4 | 0,0.8,0.8 | 1.2,7.2 | 1.4,Weight Loss,Maharashtrian,None,Non Veg,2100
Day 2,2108.5 kcal,92.55 g,285.7 g,69.2 g,57.35 g,Paneer Paratha | Dahi,Plain Rice | Daal | Gobi matar sabzi | Wheat Roti,Chicken curry | Carrot tomato salad | Wheat Roti,Apple | Almonds,Moong beans boiled,Pear | Pumpkin seeds | walnuts,Roasted peanuts | Ragi with buttermilk,2 Piece | 1 katori,1 Katori | 1 bowl | 1 katori | 2 roti,1 katori | 1 katori | 3 roti,1 piece | 6 almond,1 katori,1 piece | 1 tbsp | 6 piece,0.5 serving | 1 glass,448 | 90,120 | 116 | 82 | 170,163 | 27 | 255,42,138,52 | 84,85.5 | 71,48.2 | 4.5,26.7 | 18.7 | 7 | 34.8,4.6 | 5.4 | 52.2,88 | 1.8,23.4,77 | 1.3 | 1.2,4 | 14.3,18.4 | 4.7,2.6 | 7.2 | 2.7 | 6,17.9 | 0.9 | 9,20 | 1.8,9.9,17.6 | 2.7 | 1.8,3.95 | 1.8,21.8 | 6,0.3 | 1.4 | 5 | 0.8,7.7 | 0.2 | 1.2,0.3 | 3.6,0.5,0.9 | 4.4 | 8.4,6 | 0.8,7.6 | 0,0.5 | 3.1 | 3.4 | 5.4,1.7 | 2.5 | 8.1,0.8 | 1.2,6.9,0.3 | 0.6 | 1.2,1.65 | 2.3,Weight Loss,Maharashtrian,None,Non Veg,2100
Day 3,2094 kcal,94.6 g,273.6 g,73.5 g,45.8 g,Boiled Egg | Peas poha,Gavar sabzi | Dahi | Mix daal | Carrot tomato salad | Jowar Bhakri,Dahi | Dal Khichadi | Green salad,Papaya smoothie | Chia seeds,Egg white,Coconut water | Almonds | Cashew Nuts,Chickpea vegetable salad,2 Egg | 2 katori,1 katori | 1 katori | 1 katori | 1 katori | 3 Piece,1 katori | 2 Bowl | 1 katori,1 glass | 1 tbsp,boiled,1 piece | 6 almond | 6 Piece,2 katori,172 | 280,65 | 90 | 149 | 27 | 249,90 | 346 | 60,148 | 47,4 piece,49 | 42 | 48,164,2 | 55.8,4.7 | 4.5 | 22.4 | 5.4 | 53.4,4.5 | 57.2 | 2.8,18.3 | 4.1,68,9.1 | 1.8 | 1.8,25,13.2 | 6,2.6 | 4.7 | 8.7 | 0.9 | 5.4,4.7 | 13.2 | 1.4,5.3 | 1.6,0.8,2.9 | 1.8 | 1.8,6,13.2 | 4,3.8 | 6 | 2.9 | 0.2 | 2.4,6 | 7.2 | 4.8,6.2 | 3,14.4,0.2 | 3.6 | 4.2,5,0 | 2.2,3.6 | 0 | 6 | 2.5 | 4.5,0 | 7 | 1.7,2.3 | 3.3,0.8,2.3 | 1.2 | 0,9.2,Weight Loss,Maharashtrian,None,Non Veg,2100
